code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
002392.SZ,2025-07-30,7.09,7.18,7.05,7.13,168813.0,120006518.0,1.0,1.4758,sz,none,baostock,2026-03-26 23:25:55.108197,2026-03-26 23:25:55.108197
002392.SZ,2025-07-31,7.13,7.15,6.93,6.99,249549.6,174870698.68,1.0,2.1816,sz,none,baostock,2026-03-26 23:25:55.108204,2026-03-26 23:25:55.108204
002392.SZ,2025-08-01,6.99,7.04,6.92,6.99,109128.0,76162100.0,1.0,0.954,sz,none,baostock,2026-03-26 23:25:55.108212,2026-03-26 23:25:55.108212
002392.SZ,2025-08-04,6.96,7.0,6.9,6.97,121122.02,84134571.94,1.0,1.0589,sz,none,baostock,2026-03-26 23:25:55.108220,2026-03-26 23:25:55.108220
002392.SZ,2025-08-05,7.0,7.08,6.92,6.94,131682.3,91845183.2,1.0,1.1512,sz,none,baostock,2026-03-26 23:25:55.108227,2026-03-26 23:25:55.108227
002392.SZ,2025-08-06,6.94,6.99,6.93,6.97,121392.4,84460002.8,1.0,1.0612,sz,none,baostock,2026-03-26 23:25:55.108235,2026-03-26 23:25:55.108236
002392.SZ,2025-08-07,7.0,7.01,6.72,6.75,244439.0,166356681.0,1.0,2.1369,sz,none,baostock,2026-03-26 23:25:55.108243,2026-03-26 23:25:55.108243
002392.SZ,2025-08-08,6.73,6.79,6.71,6.76,115608.0,77977182.0,1.0,1.0107,sz,none,baostock,2026-03-26 23:25:55.108251,2026-03-26 23:25:55.108252
002392.SZ,2025-08-11,6.75,6.86,6.7,6.85,135217.54,91906268.73,1.0,1.1821,sz,none,baostock,2026-03-26 23:25:55.108259,2026-03-26 23:25:55.108260
002392.SZ,2025-08-12,6.85,6.89,6.81,6.86,95624.0,65572644.0,1.0,0.836,sz,none,baostock,2026-03-26 23:25:55.108267,2026-03-26 23:25:55.108268
002392.SZ,2025-08-13,6.86,6.91,6.79,6.81,136396.0,93046481.0,1.0,1.1924,sz,none,baostock,2026-03-26 23:25:55.108275,2026-03-26 23:25:55.108275
002392.SZ,2025-08-14,6.78,6.81,6.61,6.62,176975.0,118501067.0,1.0,1.5471,sz,none,baostock,2026-03-26 23:25:55.108283,2026-03-26 23:25:55.108283
002392.SZ,2025-08-15,6.63,6.73,6.62,6.73,127653.0,85406624.0,1.0,1.116,sz,none,baostock,2026-03-26 23:25:55.108291,2026-03-26 23:25:55.108291
002392.SZ,2025-08-18,6.77,7.12,6.76,7.0,280913.02,195912247.88,1.0,2.4558,sz,none,baostock,2026-03-26 23:25:55.108299,2026-03-26 23:25:55.108299
002392.SZ,2025-08-19,7.0,7.53,6.93,7.46,385692.04,281621579.06,1.0,3.3718,sz,none,baostock,2026-03-26 23:25:55.108306,2026-03-26 23:25:55.108306
002392.SZ,2025-08-20,7.54,7.8,7.42,7.68,348104.02,266367055.36,1.0,3.0432,sz,none,baostock,2026-03-26 23:25:55.108314,2026-03-26 23:25:55.108315
002392.SZ,2025-08-21,7.68,7.88,7.67,7.71,300303.69,233030470.14,1.0,2.6253,sz,none,baostock,2026-03-26 23:25:55.108322,2026-03-26 23:25:55.108322
002392.SZ,2025-08-22,7.68,7.76,7.34,7.4,487325.34,367606813.26,1.0,4.2603,sz,none,baostock,2026-03-26 23:25:55.108330,2026-03-26 23:25:55.108330
002392.SZ,2025-08-25,7.54,8.13,7.54,7.82,646573.28,512181886.76,1.0,5.6525,sz,none,baostock,2026-03-26 23:25:55.108338,2026-03-26 23:25:55.108338
002392.SZ,2025-08-26,7.68,7.95,7.6,7.78,339922.57,265028591.46,1.0,2.9717,sz,none,baostock,2026-03-26 23:25:55.108346,2026-03-26 23:25:55.108346
002392.SZ,2025-08-27,7.74,7.81,7.55,7.57,340139.0,261852631.0,1.0,2.9736,sz,none,baostock,2026-03-26 23:25:55.108353,2026-03-26 23:25:55.108353
002392.SZ,2025-08-28,8.06,8.19,7.58,7.94,722220.82,568569398.19,1.0,6.3138,sz,none,baostock,2026-03-26 23:25:55.108361,2026-03-26 23:25:55.108361
002392.SZ,2025-08-29,8.08,8.21,7.91,8.03,494707.0,397523641.75,1.0,4.3248,sz,none,baostock,2026-03-26 23:25:55.108369,2026-03-26 23:25:55.108369
002392.SZ,2025-09-01,8.24,8.83,8.21,8.83,540358.99,469261250.74,1.0,4.7239,sz,none,baostock,2026-03-26 23:25:55.108377,2026-03-26 23:25:55.108377
002392.SZ,2025-09-02,8.93,8.99,8.57,8.64,820881.04,720603554.72,1.0,7.1763,sz,none,baostock,2026-03-26 23:25:55.108385,2026-03-26 23:25:55.108385
002392.SZ,2025-09-03,8.56,8.72,8.26,8.34,424549.08,358956994.48,1.0,3.7115,sz,none,baostock,2026-03-26 23:25:55.108392,2026-03-26 23:25:55.108392
002392.SZ,2025-09-04,8.43,8.62,7.67,7.85,496106.39,399966583.28,1.0,4.337,sz,none,baostock,2026-03-26 23:25:55.108400,2026-03-26 23:25:55.108401
002392.SZ,2025-09-05,7.99,8.23,7.93,8.21,453338.46,368008442.9,1.0,3.9632,sz,none,baostock,2026-03-26 23:25:55.108409,2026-03-26 23:25:55.108409
002392.SZ,2025-09-08,8.22,8.86,8.22,8.69,527289.0,454178763.0,1.0,4.6096,sz,none,baostock,2026-03-26 23:25:55.108418,2026-03-26 23:25:55.108418
002392.SZ,2025-09-09,8.55,8.84,8.5,8.62,354489.04,307604297.54,1.0,3.099,sz,none,baostock,2026-03-26 23:25:55.108426,2026-03-26 23:25:55.108426
002392.SZ,2025-09-10,8.62,9.28,8.61,9.17,526584.39,477801534.95,1.0,4.6035,sz,none,baostock,2026-03-26 23:25:55.108434,2026-03-26 23:25:55.108434
002392.SZ,2025-09-11,9.3,9.49,8.6,8.86,984041.75,885511243.08,1.0,8.6027,sz,none,baostock,2026-03-26 23:25:55.108441,2026-03-26 23:25:55.108442
002392.SZ,2025-09-12,8.89,9.19,8.71,9.06,550082.0,491937841.0,1.0,4.8089,sz,none,baostock,2026-03-26 23:25:55.108450,2026-03-26 23:25:55.108450
002392.SZ,2025-09-15,9.34,9.97,9.34,9.97,1006039.77,987899671.73,1.0,8.795,sz,none,baostock,2026-03-26 23:25:55.108458,2026-03-26 23:25:55.108458
002392.SZ,2025-09-16,10.02,10.27,9.68,10.17,910869.97,915280671.35,1.0,7.963,sz,none,baostock,2026-03-26 23:25:55.108466,2026-03-26 23:25:55.108466
002392.SZ,2025-09-17,10.01,10.16,9.89,10.02,469130.04,469551272.8,1.0,4.1012,sz,none,baostock,2026-03-26 23:25:55.108474,2026-03-26 23:25:55.108474
002392.SZ,2025-09-18,10.15,10.43,9.75,9.88,458707.23,457733531.21,1.0,4.0101,sz,none,baostock,2026-03-26 23:25:55.108482,2026-03-26 23:25:55.108482
002392.SZ,2025-09-19,9.93,10.54,9.79,10.33,570216.81,584532229.47,1.0,4.9849,sz,none,baostock,2026-03-26 23:25:55.108489,2026-03-26 23:25:55.108490
002392.SZ,2025-09-22,10.48,10.5,9.62,9.74,594190.39,589475523.21,1.0,5.1945,sz,none,baostock,2026-03-26 23:25:55.108497,2026-03-26 23:25:55.108498
002392.SZ,2025-09-23,9.78,9.78,9.28,9.64,433730.72,409320441.63,1.0,3.7917,sz,none,baostock,2026-03-26 23:25:55.108505,2026-03-26 23:25:55.108506
002392.SZ,2025-09-24,9.6,9.87,9.41,9.85,239587.17,232426485.5,1.0,2.0945,sz,none,baostock,2026-03-26 23:25:55.108513,2026-03-26 23:25:55.108513
002392.SZ,2025-09-25,9.8,9.86,9.22,9.26,474067.05,444418426.33,1.0,4.1444,sz,none,baostock,2026-03-26 23:25:55.108521,2026-03-26 23:25:55.108521
002392.SZ,2025-09-26,9.3,9.53,8.98,9.37,303638.11,282532210.1,1.0,2.6545,sz,none,baostock,2026-03-26 23:25:55.108529,2026-03-26 23:25:55.108529
002392.SZ,2025-09-29,9.37,9.84,9.3,9.7,307507.2,295563811.39,1.0,2.6883,sz,none,baostock,2026-03-26 23:25:55.108537,2026-03-26 23:25:55.108537
002392.SZ,2025-09-30,9.72,10.15,9.72,9.99,322985.58,323641426.03,1.0,2.8236,sz,none,baostock,2026-03-26 23:25:55.108545,2026-03-26 23:25:55.108545
002392.SZ,2025-10-09,10.03,10.27,10.01,10.05,277338.92,280588975.12,1.0,2.4245,sz,none,baostock,2026-03-26 23:25:55.108553,2026-03-26 23:25:55.108553
002392.SZ,2025-10-10,10.01,10.4,9.9,10.19,347448.61,354810470.93,1.0,3.0375,sz,none,baostock,2026-03-26 23:25:55.108560,2026-03-26 23:25:55.108561
002392.SZ,2025-10-13,9.6,10.01,9.41,9.97,291971.32,286544429.29,1.0,2.5525,sz,none,baostock,2026-03-26 23:25:55.108568,2026-03-26 23:25:55.108568
002392.SZ,2025-10-14,10.03,10.38,9.91,10.0,253480.9,257250576.14,1.0,2.216,sz,none,baostock,2026-03-26 23:25:55.108576,2026-03-26 23:25:55.108576
002392.SZ,2025-10-15,10.0,10.29,9.81,10.25,220910.63,221952199.46,1.0,1.9312,sz,none,baostock,2026-03-26 23:25:55.108585,2026-03-26 23:25:55.108585
002392.SZ,2025-10-16,10.33,10.33,9.23,9.23,701392.78,661590716.27,1.0,6.1317,sz,none,baostock,2026-03-26 23:25:55.108593,2026-03-26 23:25:55.108593
002392.SZ,2025-10-17,9.17,9.25,8.8,8.88,342075.89,308844906.39,1.0,2.9905,sz,none,baostock,2026-03-26 23:25:55.108601,2026-03-26 23:25:55.108601
002392.SZ,2025-10-20,9.04,9.12,8.62,8.72,228359.95,201768854.88,1.0,1.9964,sz,none,baostock,2026-03-26 23:25:55.108609,2026-03-26 23:25:55.108609
002392.SZ,2025-10-21,8.73,8.91,8.65,8.87,144252.45,126914781.58,1.0,1.2611,sz,none,baostock,2026-03-26 23:25:55.108616,2026-03-26 23:25:55.108617
002392.SZ,2025-10-22,8.86,9.12,8.73,9.01,176100.71,158128007.34,1.0,1.5395,sz,none,baostock,2026-03-26 23:25:55.108624,2026-03-26 23:25:55.108625
002392.SZ,2025-10-23,8.99,8.99,8.75,8.88,134784.2,119067221.64,1.0,1.1783,sz,none,baostock,2026-03-26 23:25:55.108632,2026-03-26 23:25:55.108632
002392.SZ,2025-10-24,8.91,9.09,8.91,9.03,137261.6,123767925.6,1.0,1.2,sz,none,baostock,2026-03-26 23:25:55.108640,2026-03-26 23:25:55.108640
002392.SZ,2025-10-27,9.11,9.14,8.13,8.13,639730.1,538583139.25,1.0,5.5926,sz,none,baostock,2026-03-26 23:25:55.108648,2026-03-26 23:25:55.108648
002392.SZ,2025-10-28,8.07,8.13,7.83,7.9,419282.0,331969378.0,1.0,3.6654,sz,none,baostock,2026-03-26 23:25:55.108656,2026-03-26 23:25:55.108656
002392.SZ,2025-10-29,7.91,8.15,7.83,8.11,303685.03,243142673.24,1.0,2.6549,sz,none,baostock,2026-03-26 23:25:55.108663,2026-03-26 23:25:55.108664
002392.SZ,2025-10-30,8.08,8.14,7.96,8.01,179455.0,144304344.0,1.0,1.5688,sz,none,baostock,2026-03-26 23:25:55.108671,2026-03-26 23:25:55.108671
002392.SZ,2025-10-31,8.01,8.38,8.01,8.23,239341.95,197338130.8,1.0,2.0924,sz,none,baostock,2026-03-26 23:25:55.108679,2026-03-26 23:25:55.108679
002392.SZ,2025-11-03,8.19,8.2,8.02,8.18,140207.0,113599365.0,1.0,1.2257,sz,none,baostock,2026-03-26 23:25:55.108687,2026-03-26 23:25:55.108687
002392.SZ,2025-11-04,8.18,8.28,7.99,8.06,144629.31,116918647.58,1.0,1.2644,sz,none,baostock,2026-03-26 23:25:55.108694,2026-03-26 23:25:55.108694
002392.SZ,2025-11-05,8.05,8.2,7.97,8.14,118800.0,96294166.0,1.0,1.0386,sz,none,baostock,2026-03-26 23:25:55.108703,2026-03-26 23:25:55.108703
002392.SZ,2025-11-06,8.14,8.18,8.03,8.07,123264.02,99558416.72,1.0,1.0776,sz,none,baostock,2026-03-26 23:25:55.108710,2026-03-26 23:25:55.108710
002392.SZ,2025-11-07,8.07,8.12,8.0,8.03,116432.27,93627625.54,1.0,1.0179,sz,none,baostock,2026-03-26 23:25:55.108740,2026-03-26 23:25:55.108740
002392.SZ,2025-11-10,8.04,8.06,7.65,7.8,380085.47,295963402.95,1.0,3.3228,sz,none,baostock,2026-03-26 23:25:55.108748,2026-03-26 23:25:55.108749
002392.SZ,2025-11-11,7.82,7.91,7.79,7.83,169849.0,133323167.0,1.0,1.4848,sz,none,baostock,2026-03-26 23:25:55.108756,2026-03-26 23:25:55.108757
002392.SZ,2025-11-12,7.85,7.86,7.71,7.85,150618.07,117399020.53,1.0,1.3167,sz,none,baostock,2026-03-26 23:25:55.108764,2026-03-26 23:25:55.108764
002392.SZ,2025-11-13,7.86,8.02,7.78,7.96,181102.0,143208326.0,1.0,1.5832,sz,none,baostock,2026-03-26 23:25:55.108772,2026-03-26 23:25:55.108772
002392.SZ,2025-11-14,7.86,8.12,7.86,8.01,230899.47,185731831.35,1.0,2.0186,sz,none,baostock,2026-03-26 23:25:55.108780,2026-03-26 23:25:55.108780
002392.SZ,2025-11-17,8.02,8.04,7.78,7.83,163312.0,128656089.0,1.0,1.4277,sz,none,baostock,2026-03-26 23:25:55.108788,2026-03-26 23:25:55.108788
002392.SZ,2025-11-18,7.9,7.9,7.63,7.68,172687.0,132640781.36,1.0,1.5097,sz,none,baostock,2026-03-26 23:25:55.108795,2026-03-26 23:25:55.108796
002392.SZ,2025-11-19,7.68,7.76,7.48,7.56,190373.01,143965535.54,1.0,1.6643,sz,none,baostock,2026-03-26 23:25:55.108803,2026-03-26 23:25:55.108804
002392.SZ,2025-11-20,7.6,7.62,7.49,7.52,112913.07,85083029.78,1.0,0.9871,sz,none,baostock,2026-03-26 23:25:55.108811,2026-03-26 23:25:55.108812
002392.SZ,2025-11-21,7.48,7.53,7.2,7.21,185379.0,135660939.0,1.0,1.6206,sz,none,baostock,2026-03-26 23:25:55.108819,2026-03-26 23:25:55.108819
002392.SZ,2025-11-24,7.29,7.35,7.17,7.26,125890.04,91510309.08,1.0,1.1006,sz,none,baostock,2026-03-26 23:25:55.108827,2026-03-26 23:25:55.108827
002392.SZ,2025-11-25,7.28,7.39,7.25,7.28,116698.65,85449458.96,1.0,1.0202,sz,none,baostock,2026-03-26 23:25:55.108834,2026-03-26 23:25:55.108835
