date,open,close,high,low,volume,amount
2024-11-11,6.06,6.2,6.36,6.05,359733,224033885.98
2024-11-12,6.18,6.12,6.21,6.07,178564,109620198.45
2024-11-13,6.1,6.12,6.18,5.99,157618,95897197.23
2024-11-14,6.15,6.1,6.35,6.1,277006,171747850.34
2024-11-15,6.08,5.98,6.18,5.95,180225,109306620.63
2024-11-18,6.03,5.9,6.05,5.85,147754,87860632.6
2024-11-19,5.97,5.97,5.99,5.81,113170,66894766.42
2024-11-20,5.94,6.1,6.1,5.93,130017,78459289.74
2024-11-21,6.11,6.09,6.14,6.02,96544,58790544.69
2024-11-22,6.12,5.91,6.16,5.89,110082,66517152.4
2024-11-25,5.91,5.94,5.97,5.84,99852,58959890.3
2024-11-26,5.95,6.03,6.19,5.92,171913,104355586.1
2024-11-27,6.06,6.09,6.1,5.9,133593,80057101.06
2024-11-28,6.11,6.1,6.23,6.09,136125,83512255.19
2024-11-29,6.11,6.17,6.18,6.09,147800,90842909.47
2024-12-02,6.16,6.28,6.33,6.16,178074,111296516.98
2024-12-03,6.29,6.24,6.3,6.18,136464,84922787.6
2024-12-04,6.23,6.19,6.28,6.14,114036,70685963.64
2024-12-05,6.21,6.24,6.27,6.17,113683,70678728.7
2024-12-06,6.32,6.38,6.48,6.27,352599,224521915.47
2024-12-09,6.4,6.24,6.42,6.16,280708,176051554.32
2024-12-10,6.35,6.37,6.5,6.24,355441,225510897.2
2024-12-11,6.35,6.45,6.46,6.33,208792,134044606.12
2024-12-12,6.45,6.46,6.5,6.36,171835,110383517.9
2024-12-13,6.45,6.35,6.46,6.33,155394,99233264.2
2024-12-16,6.39,6.35,6.5,6.31,133741,85397052.1
2024-12-17,6.33,6.08,6.33,6.06,185400,114222562.43
2024-12-18,6.15,6.13,6.22,6.05,120754,74271190.36
2024-12-19,6.07,6.1,6.13,6.02,124253,75540656.9
2024-12-20,6.11,6.06,6.13,6.01,111828,68018582.3
2024-12-23,6.06,6.12,6.42,5.84,398209,241468707.42
2024-12-24,6.0,6.29,6.33,5.98,454765,283467295.22
2024-12-25,6.28,6.38,6.48,6.1,415427,262120680.44
2024-12-26,6.31,6.56,6.68,6.28,450928,294872956.35
2024-12-27,6.54,6.65,6.75,6.5,519501,343832398.53
2024-12-30,6.83,6.53,6.9,6.48,465606,308340049.28
2024-12-31,6.61,6.9,7.18,6.56,821293,566651055.35
2025-01-02,6.94,6.8,7.15,6.62,697314,480901077.2
2025-01-03,6.6,7.48,7.48,6.46,870109,626452398.63
2025-01-06,7.55,7.6,7.9,7.2,1197352,899763135.84
2025-01-07,7.5,7.73,8.2,7.39,1015705,793381218.18
2025-01-08,7.87,7.63,8.15,7.53,1019079,800485405.68
2025-01-09,7.4,7.06,7.72,7.0,1052145,768112218.47
2025-01-10,7.24,6.55,7.36,6.51,922525,640168301.63
2025-01-13,6.44,6.31,6.57,6.24,544138,346478193.08
2025-01-14,6.34,6.56,6.58,6.31,569210,369637414.16
2025-01-15,6.5,6.28,6.5,6.24,496642,314278523.68
2025-01-16,6.31,6.4,6.56,6.3,439337,282099510.25
2025-01-17,6.36,6.31,6.36,6.16,336131,210274939.66
2025-01-20,6.38,6.4,6.49,6.32,344213,220240481.7
2025-01-21,6.49,6.52,6.68,6.38,445097,289513963.24
2025-01-22,6.48,6.59,6.68,6.43,386648,254484552.9
2025-01-23,6.61,6.38,6.72,6.37,428287,280650394.3
