code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
000725.SZ,2025-04-28,3.86,3.86,3.82,3.84,2257684.0,866526777.27,1.0,1.04,sz,none,eastmoney,2026-03-26 17:18:39.576469,2026-03-26 17:18:39.576469
000725.SZ,2025-04-29,3.83,3.85,3.81,3.82,2563898.0,982108536.03,1.0,1.04,sz,none,eastmoney,2026-03-26 17:18:39.576477,2026-03-26 17:18:39.576477
000725.SZ,2025-04-30,3.83,3.85,3.82,3.84,2381405.0,913708386.0,1.0,0.79,sz,none,eastmoney,2026-03-26 17:18:39.576486,2026-03-26 17:18:39.576486
000725.SZ,2025-05-06,3.85,3.89,3.84,3.88,3802575.0,1472994516.19,1.0,1.3,sz,none,eastmoney,2026-03-26 17:18:39.576493,2026-03-26 17:18:39.576493
000725.SZ,2025-05-07,3.92,3.94,3.86,3.87,3661340.0,1422404642.52,1.0,2.06,sz,none,eastmoney,2026-03-26 17:18:39.576501,2026-03-26 17:18:39.576502
000725.SZ,2025-05-08,3.87,3.89,3.86,3.88,3112504.0,1207653512.38,1.0,0.78,sz,none,eastmoney,2026-03-26 17:18:39.576509,2026-03-26 17:18:39.576509
000725.SZ,2025-05-09,3.88,3.89,3.85,3.86,2863731.0,1106345743.08,1.0,1.03,sz,none,eastmoney,2026-03-26 17:18:39.576517,2026-03-26 17:18:39.576517
000725.SZ,2025-05-12,3.89,3.94,3.88,3.93,4519291.0,1769365721.92,1.0,1.55,sz,none,eastmoney,2026-03-26 17:18:39.576525,2026-03-26 17:18:39.576525
000725.SZ,2025-05-13,3.98,3.98,3.91,3.92,3624087.0,1427449837.98,1.0,1.78,sz,none,eastmoney,2026-03-26 17:18:39.576532,2026-03-26 17:18:39.576533
000725.SZ,2025-05-14,3.92,3.96,3.89,3.95,3642217.0,1430802390.68,1.0,1.79,sz,none,eastmoney,2026-03-26 17:18:39.576540,2026-03-26 17:18:39.576540
000725.SZ,2025-05-15,3.95,3.95,3.89,3.89,3457794.0,1352923422.63,1.0,1.52,sz,none,eastmoney,2026-03-26 17:18:39.576548,2026-03-26 17:18:39.576548
000725.SZ,2025-05-16,3.88,3.9,3.87,3.89,2500455.0,971962970.0,1.0,0.77,sz,none,eastmoney,2026-03-26 17:18:39.576557,2026-03-26 17:18:39.576557
000725.SZ,2025-05-19,3.88,3.89,3.86,3.88,2632981.0,1019925432.95,1.0,0.77,sz,none,eastmoney,2026-03-26 17:18:39.576577,2026-03-26 17:18:39.576577
000725.SZ,2025-05-20,3.88,3.91,3.87,3.9,2741155.0,1066893702.98,1.0,1.03,sz,none,eastmoney,2026-03-26 17:18:39.576585,2026-03-26 17:18:39.576585
000725.SZ,2025-05-21,3.91,3.91,3.88,3.88,2029463.0,789620851.93,1.0,0.77,sz,none,eastmoney,2026-03-26 17:18:39.576593,2026-03-26 17:18:39.576593
000725.SZ,2025-05-22,3.88,3.9,3.86,3.87,2423578.0,939959140.9,1.0,1.03,sz,none,eastmoney,2026-03-26 17:18:39.576601,2026-03-26 17:18:39.576602
000725.SZ,2025-05-23,3.87,3.88,3.82,3.82,3118044.0,1200800075.94,1.0,1.55,sz,none,eastmoney,2026-03-26 17:18:39.576609,2026-03-26 17:18:39.576609
000725.SZ,2025-05-26,3.82,3.86,3.82,3.83,2326841.0,892989250.48,1.0,1.05,sz,none,eastmoney,2026-03-26 17:18:39.576617,2026-03-26 17:18:39.576617
000725.SZ,2025-05-27,3.83,3.84,3.81,3.83,2236090.0,855960647.01,1.0,0.78,sz,none,eastmoney,2026-03-26 17:18:39.576625,2026-03-26 17:18:39.576625
000725.SZ,2025-05-28,3.84,3.88,3.82,3.82,3189445.0,1225718019.3,1.0,1.57,sz,none,eastmoney,2026-03-26 17:18:39.576633,2026-03-26 17:18:39.576634
000725.SZ,2025-05-29,3.83,3.86,3.82,3.85,2711637.0,1042054808.68,1.0,1.05,sz,none,eastmoney,2026-03-26 17:18:39.576641,2026-03-26 17:18:39.576642
000725.SZ,2025-05-30,3.84,3.84,3.8,3.8,3480948.0,1326687986.45,1.0,1.04,sz,none,eastmoney,2026-03-26 17:18:39.576649,2026-03-26 17:18:39.576649
000725.SZ,2025-06-03,3.8,3.82,3.79,3.8,2486334.0,945702806.29,1.0,0.79,sz,none,eastmoney,2026-03-26 17:18:39.576657,2026-03-26 17:18:39.576657
000725.SZ,2025-06-04,3.81,3.92,3.8,3.91,6515050.0,2522721280.02,1.0,3.16,sz,none,eastmoney,2026-03-26 17:18:39.576665,2026-03-26 17:18:39.576665
000725.SZ,2025-06-05,3.9,3.97,3.9,3.94,5472101.0,2157840523.84,1.0,1.79,sz,none,eastmoney,2026-03-26 17:18:39.576673,2026-03-26 17:18:39.576673
000725.SZ,2025-06-06,3.95,3.96,3.91,3.94,2902140.0,1141635250.24,1.0,1.27,sz,none,eastmoney,2026-03-26 17:18:39.576681,2026-03-26 17:18:39.576681
000725.SZ,2025-06-09,3.95,3.98,3.94,3.96,3026371.0,1197610605.99,1.0,1.02,sz,none,eastmoney,2026-03-26 17:18:39.576689,2026-03-26 17:18:39.576689
000725.SZ,2025-06-10,3.96,3.97,3.88,3.9,3132356.0,1226976649.14,1.0,2.27,sz,none,eastmoney,2026-03-26 17:18:39.576697,2026-03-26 17:18:39.576697
000725.SZ,2025-06-11,3.91,3.95,3.9,3.93,2485751.0,978880867.31,1.0,1.28,sz,none,eastmoney,2026-03-26 17:18:39.576704,2026-03-26 17:18:39.576705
000725.SZ,2025-06-12,3.93,3.95,3.91,3.93,2381111.0,935964174.88,1.0,1.02,sz,none,eastmoney,2026-03-26 17:18:39.576712,2026-03-26 17:18:39.576712
000725.SZ,2025-06-13,3.92,3.93,3.87,3.89,2940497.0,1144260529.72,1.0,1.53,sz,none,eastmoney,2026-03-26 17:18:39.576720,2026-03-26 17:18:39.576720
000725.SZ,2025-06-16,3.88,3.9,3.87,3.89,2284001.0,887750813.75,1.0,0.77,sz,none,eastmoney,2026-03-26 17:18:39.576728,2026-03-26 17:18:39.576728
000725.SZ,2025-06-17,3.9,3.94,3.88,3.92,3137931.0,1229343576.44,1.0,1.54,sz,none,eastmoney,2026-03-26 17:18:39.576736,2026-03-26 17:18:39.576736
000725.SZ,2025-06-18,3.93,3.96,3.92,3.95,3235905.0,1276956548.83,1.0,1.02,sz,none,eastmoney,2026-03-26 17:18:39.576744,2026-03-26 17:18:39.576744
000725.SZ,2025-06-19,3.94,3.95,3.9,3.93,3010939.0,1181508100.28,1.0,1.27,sz,none,eastmoney,2026-03-26 17:18:39.576751,2026-03-26 17:18:39.576752
000725.SZ,2025-06-20,3.92,3.96,3.92,3.93,2636296.0,1038764586.95,1.0,1.02,sz,none,eastmoney,2026-03-26 17:18:39.576759,2026-03-26 17:18:39.576759
000725.SZ,2025-06-23,3.92,3.97,3.9,3.96,2805942.0,1107815062.95,1.0,1.78,sz,none,eastmoney,2026-03-26 17:18:39.576767,2026-03-26 17:18:39.576767
000725.SZ,2025-06-24,3.96,3.98,3.95,3.98,3094230.0,1228078401.58,1.0,0.76,sz,none,eastmoney,2026-03-26 17:18:39.576775,2026-03-26 17:18:39.576775
000725.SZ,2025-06-25,3.94,3.96,3.92,3.96,3493492.0,1376915628.76,1.0,1.01,sz,none,eastmoney,2026-03-26 17:18:39.576783,2026-03-26 17:18:39.576783
000725.SZ,2025-06-26,3.95,4.02,3.95,3.95,4104372.0,1633544779.5,1.0,1.77,sz,none,eastmoney,2026-03-26 17:18:39.576790,2026-03-26 17:18:39.576791
000725.SZ,2025-06-27,3.95,4.0,3.95,3.97,3127789.0,1242877240.94,1.0,1.27,sz,none,eastmoney,2026-03-26 17:18:39.576798,2026-03-26 17:18:39.576798
000725.SZ,2025-06-30,3.98,4.02,3.98,3.99,2690951.0,1075846521.69,1.0,1.01,sz,none,eastmoney,2026-03-26 17:18:39.576806,2026-03-26 17:18:39.576806
000725.SZ,2025-07-01,4.0,4.01,3.97,3.99,2199456.0,876210056.65,1.0,1.0,sz,none,eastmoney,2026-03-26 17:18:39.576814,2026-03-26 17:18:39.576814
000725.SZ,2025-07-02,3.99,3.99,3.97,3.98,2008557.0,798963311.4,1.0,0.5,sz,none,eastmoney,2026-03-26 17:18:39.576823,2026-03-26 17:18:39.576823
000725.SZ,2025-07-03,3.99,4.03,3.98,4.02,3453444.0,1382686299.83,1.0,1.26,sz,none,eastmoney,2026-03-26 17:18:39.576830,2026-03-26 17:18:39.576830
000725.SZ,2025-07-04,4.02,4.03,3.99,4.0,2932953.0,1175987886.65,1.0,1.0,sz,none,eastmoney,2026-03-26 17:18:39.576839,2026-03-26 17:18:39.576839
