date,middlePB,quantileInRecent10YearsMiddlePB,close,pe
2010-12-08,,,3718.65,
2010-12-09,,,3654.54,
2010-12-10,,,3701.41,
2010-12-13,,,3812.64,
2010-12-14,,,3837.36,
2010-12-15,,,3818.62,
2010-12-16,,,3804.38,
2010-12-17,,,3802.81,
2010-12-20,,,3750.68,
2010-12-21,,,3816.78,
2010-12-22,,,3780.46,
2010-12-23,,,3731.45,
2010-12-24,,,3688.43,
2010-12-27,,,3602.29,
2010-12-28,,,3531.3,
2010-12-29,,,3567.78,
2010-12-30,,,3575.24,
2010-12-31,,,3652.17,
2011-01-04,,,3715.53,
2011-01-05,,,3709.43,
2011-01-06,,,3691.12,
2011-01-07,,,3687.25,
2011-01-10,,,3605.54,
2011-01-11,,,3607.07,
2011-01-12,,,3628.09,
2011-01-13,,,3626.51,
2011-01-14,,,3562.68,
2011-01-17,,,3421.59,
2011-01-18,,,3429.72,
2011-01-19,,,3509.18,
2011-01-20,,,3391.51,
2011-01-21,,,3427.49,
2011-01-24,,,3375.65,
2011-01-25,,,3343.79,
2011-01-26,,,3394.8,
2011-01-27,,,3450.21,
2011-01-28,,,3471.97,
2011-01-31,,,3518.07,
2011-02-01,,,3522.85,
2011-02-09,,,3492.89,
2011-02-10,,,3574.73,
2011-02-11,,,3601.83,
2011-02-14,,,3693.83,
2011-02-15,,,3693.8,
2011-02-16,,,3740.3,
2011-02-17,,,3748.31,
2011-02-18,,,3712.3,
2011-02-21,,,3773.7,
2011-02-22,,,3669.54,
2011-02-23,,,3696.7,
2011-02-24,,,3719.31,
2011-02-25,,,3725.68,
2011-02-28,,,3774.15,
2011-03-01,,,3792.09,
2011-03-02,,,3780.56,
2011-03-03,,,3738.29,
2011-03-04,,,3789.42,
2011-03-07,,,3852.05,
2011-03-08,,,3862.66,
2011-03-09,,,3868.73,
2011-03-10,,,3818.76,
2011-03-11,,,3794.69,
2011-03-14,,,3820.5,
2011-03-15,,,3762.91,
2011-03-16,,,3813.22,
2011-03-17,,,3749.13,
2011-03-18,,,3770.43,
2011-03-21,,,3754.42,
2011-03-22,,,3765.03,
2011-03-23,,,3813.22,
2011-03-24,,,3808.21,
2011-03-25,,,3848.79,
2011-03-28,,,3841.94,
2011-03-29,,,3793.73,
2011-03-30,,,3779.12,
2011-03-31,,,3737.72,
2011-04-01,,,3790.17,
2011-04-06,,,3814.88,
2011-04-07,,,3833.13,
2011-04-08,,,3870.62,
2011-04-11,,,3846.02,
2011-04-12,,,3841.72,
2011-04-13,,,3887.91,
2011-04-14,,,3873.12,
2011-04-15,,,3878.76,
2011-04-18,,,3886.02,
2011-04-19,,,3826.11,
2011-04-20,,,3837.61,
2011-04-21,,,3863.05,
2011-04-22,,,3842.82,
2011-04-25,,,3775.01,
2011-04-26,,,3734.64,
2011-04-27,,,3702.52,
2011-04-28,,,3620.67,
2011-04-29,,,3665.82,
2011-05-03,,,3704.25,
2011-05-04,,,3617.76,
2011-05-05,,,3621.68,
2011-05-06,,,3627.42,
2011-05-09,,,3645.97,
2011-05-10,,,3672.02,
2011-05-11,,,3669.31,
2011-05-12,,,3618.25,
2011-05-13,,,3647.63,
2011-05-16,,,3627.76,
2011-05-17,,,3629.4,
2011-05-18,,,3655.52,
2011-05-19,,,3635.84,
2011-05-20,,,3631.62,
2011-05-23,,,3508.69,
2011-05-24,,,3510.26,
2011-05-25,,,3469.13,
2011-05-26,,,3447.89,
2011-05-27,,,3392.38,
2011-05-30,,,3362.27,
2011-05-31,,,3423.78,
2011-06-01,,,3440.54,
2011-06-02,,,3388.54,
2011-06-03,,,3432.73,
2011-06-07,,,3458.15,
2011-06-08,,,3468.08,
2011-06-09,,,3397.6,
2011-06-10,,,3407.1,
2011-06-13,,,3397.93,
2011-06-14,,,3448.5,
2011-06-15,,,3415.57,
2011-06-16,,,3353.32,
2011-06-17,,,3315.64,
2011-06-20,,,3285.56,
2011-06-21,,,3326.55,
2011-06-22,,,3323.38,
2011-06-23,,,3381.0,
2011-06-24,,,3460.73,
2011-06-27,,,3485.79,
2011-06-28,,,3492.89,11.67
2011-06-29,,,3446.54,
2011-06-30,,,3496.74,
2011-07-01,,,3507.99,
2011-07-04,,,3591.0,
2011-07-05,,,3602.28,
2011-07-06,,,3601.9,
2011-07-07,,,3593.65,
2011-07-08,,,3596.06,
2011-07-11,,,3612.67,
2011-07-12,,,3552.08,
2011-07-13,,,3614.84,
2011-07-14,,,3635.62,
2011-07-15,,,3655.58,11.68
2011-07-18,,,3652.59,11.63
2011-07-19,,,3616.54,12.85
2011-07-20,,,3616.39,12.88
2011-07-21,,,3573.99,12.79
2011-07-22,,,3586.67,20.39
2011-07-25,,,3458.39,19.74
2011-07-26,,,3471.91,19.84
2011-07-27,,,3511.53,20.03
2011-07-28,,,3491.17,19.95
2011-07-29,,,3470.45,19.87
2011-08-01,,,3481.1,19.87
2011-08-02,,,3457.89,19.87
2011-08-03,,,3462.98,19.79
2011-08-04,,,3473.52,19.79
2011-08-05,,,3400.43,19.44
2011-08-08,,,3257.11,18.68
2011-08-09,,,3256.3,18.68
2011-08-10,,,3294.26,18.88
2011-08-11,,,3348.18,19.15
2011-08-12,,,3370.21,19.26
2011-08-15,,,3419.9,19.51
2011-08-16,,,3395.64,19.37
2011-08-17,,,3384.14,19.32
2011-08-18,,,3323.58,18.99
2011-08-19,,,3292.86,18.82
2011-08-22,,,3263.78,18.67
2011-08-23,,,3316.38,18.96
2011-08-24,,,3307.9,18.9
2011-08-25,,,3397.27,19.41
2011-08-26,,,3400.35,19.42
