日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2026-03-12,10.94,0.46,-22480216.0,-2.73,-925277.0,-0.11,-21554939.0,-2.62,9269956.0,1.12,13210260.0,1.6
2026-03-13,10.93,-0.09,26236909.0,2.85,7619724.0,0.83,18617185.0,2.02,-20776199.0,-2.26,-5460711.0,-0.59
2026-03-16,10.92,-0.09,-8566052.0,-1.1,11899811.0,1.52,-20465863.0,-2.62,-17438163.0,-2.23,26004216.0,3.32
2026-03-17,11.03,1.01,85581424.0,7.21,59709136.0,5.03,25872288.0,2.18,-43899344.0,-3.7,-41682098.0,-3.51
2026-03-18,10.96,-0.63,-71228407.0,-8.21,-19236695.0,-2.22,-51991712.0,-5.99,44205270.0,5.09,27023142.0,3.11
2026-03-19,10.88,-0.73,-52157215.0,-7.66,-53851555.0,-7.91,1694340.0,0.25,-577389.0,-0.08,52734604.0,7.74
2026-03-20,10.77,-1.01,-105018406.0,-11.62,-109166496.0,-12.08,4148090.0,0.46,31255161.0,3.46,73763252.0,8.16
2026-03-23,10.45,-2.97,-208275248.0,-12.5,-146431888.0,-8.79,-61843360.0,-3.71,149926320.0,9.0,58348928.0,3.5
2026-03-24,10.88,4.11,53947504.0,3.09,33511968.0,1.92,20435536.0,1.17,-79530576.0,-4.56,25583072.0,1.47
2026-03-25,10.94,0.55,23917505.0,2.95,21037048.0,2.6,2880457.0,0.36,-6245255.0,-0.77,-17672249.0,-2.18
2026-03-26,10.94,0.0,-4634773.0,-0.51,-32103688.0,-3.53,27468915.0,3.02,5990449.0,0.66,-1355670.0,-0.15
