fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
002646.SZ,20201029,20200930,2604051484.660000,327713004.910000,0,1217141408.820000,305955520.200000
002646.SZ,20200819,20200630,2622491268.870000,314911795.660000,0,1228079778.370000,291828180.900000
002646.SZ,20200428,20200331,2682563483.820000,329031620.880000,0,1271929584.600000,307974211.070000
002646.SZ,20210427,20191231,2807039883.120000,445853984.800000,0,1381397330.200000,425610854.940000
002646.SZ,20191029,20190930,2763401166.990000,406919647.100000,0,1348446792.910000,385449547.390000
002646.SZ,20190826,20190630,2743400599.960000,388499049.790000,0,1332943225.930000,366068855.030000
002646.SZ,20190425,20190331,2758259855.300000,316710710.780000,0,1365340297.450000,293755670.970000
002646.SZ,20200428,20181231,2939556538.560000,562656405.960000,0,1535580068.770000,538897521.100000
002646.SZ,20181025,20180930,2719659416.470000,362328113.540000,0,1318698263.510000,344793508.620000
002646.SZ,20180828,20180630,2746230310.000000,386307261.230000,0,1370278056.790000,368059436.250000
002646.SZ,20180425,20180331,2794059027.450000,410395892.750000,0,1417442929.010000,391434847.710000
002646.SZ,20190425,20171231,2663503267.560000,365809245.480000,0,1270247142.830000,346128947.340000
002646.SZ,20171025,20170930,2789048403.250000,293208931.730000,0,1220556952.270000,275200488.110000
002646.SZ,20170823,20170630,2766655538.900000,274326733.620000,0,1203822617.080000,255656144.520000
002646.SZ,20170425,20170331,2989565498.570000,423609221.720000,0,1464680082.940000,404192736.930000
002646.SZ,20180425,20161231,3162682731.100000,698273841.660000,0,1651855480.040000,678278961.400000
002646.SZ,20161027,20160930,2944308541.110000,495610038.500000,0,1503702036.780000,475036762.770000
002646.SZ,20160825,20160630,2963599905.980000,558820981.880000,0,1557907678.330000,537669310.680000
002646.SZ,20160423,20160331,2887020441.460000,405958396.860000,0,1516536100.220000,384228330.190000
002646.SZ,20170425,20151231,2722960198.840000,385552354.350000,0,1386699889.170000,363243892.210000
002646.SZ,20151027,20150930,2823320932.930000,478564072.560000,0,1553652086.640000,457114714.960000
002646.SZ,20150825,20150630,2983834915.770000,687588602.710000,0,1944015875.960000,665873349.650000
002646.SZ,20150428,20150331,2799937630.140000,415137058.610000,0,1782725960.620000,393155910.090000
002646.SZ,20160423,20141231,2502558068.940000,278215325.510000,0,1531110317.000000,255968281.530000
002646.SZ,20141028,20140930,2655368501.310000,477631369.100000,0,1735761333.150000,460009868.020000
002646.SZ,20140819,20140630,2707749543.500000,626934193.730000,0,1852576498.270000,609471454.710000
002646.SZ,20140425,20140331,2444269369.790000,248533567.540000,0,1631684802.110000,230879590.610000
002646.SZ,20150428,20131231,2384045520.340000,342153722.680000,0,1611072454.530000,324308507.840000
002646.SZ,20131026,20130930,2201933812.840000,228762445.520000,0,1744549031.000000,213725992.770000
002646.SZ,20130822,20130630,2104757824.190000,221757263.070000,0,1662576710.960000,206529572.410000
002646.SZ,20130423,20130331,2219763299.240000,276087621.070000,0,1778941621.850000,260668692.500000
002646.SZ,20140425,20121231,2152200347.660000,371273920.600000,0,1716274547.880000,355663754.120000
002646.SZ,20121025,20120930,1998987064.780000,281317522.910000,0,1625728995.960000,275038618.520000
002646.SZ,20120828,20120630,1806479511.360000,166520093.660000,0,1515889730.070000,160072451.360000
002646.SZ,20120425,20120331,1912065513.570000,221663623.960000,0,1645433137.060000,186858505.840000
002646.SZ,20130423,20111231,1797190209.630000,227709489.630000,0,1557624203.730000,193924371.510000
002646.SZ,20111221,20110930,839708293.340000,222045734.230000,0,640203935.110000,188125734.230000
002646.SZ,20111202,20110630,752676264.610000,186819591.640000,0,579325215.270000,150619591.640000
002646.SZ,20120425,20101231,707570068.460000,253669279.180000,0,542703320.400000,220249279.180000
002646.SZ,20111202,20091231,318061622.900000,136119569.020000,0,227051679.870000,86119569.020000
002646.SZ,20111202,20081231,243455656.070000,106583351.440000,0,168907066.200000,106583351.440000
