fs_code,ann_date,report_date,total_assets,total_liab,total_equity,current_assets,current_liab
600050.SH,20141024,20140930,515542724966.000000,286549695535.000000,0,53056988928.000000,255232805699.000000
600050.SH,20140808,20140630,518799500577.000000,293608847811.000000,0,53557872448.000000,269453288382.000000
600050.SH,20140418,20140331,524222536223.000000,299412087409.000000,0,57521650361.000000,284307552558.000000
600050.SH,20150304,20131231,531364453263.000000,309738349099.000000,0,52332773915.000000,294693022831.000000
600050.SH,20131025,20130930,514150565717.000000,294879785596.000000,0,53193730411.000000,279739611388.000000
600050.SH,20130809,20130630,508261911995.000000,293372078375.000000,0,47561639275.000000,289197754772.000000
600050.SH,20130426,20130331,507013357725.000000,292938893358.000000,0,48656123448.000000,288696301772.000000
600050.SH,20140228,20121231,518357290110.000000,306122976845.000000,0,48240091437.000000,301811749484.000000
600050.SH,20121026,20120930,468996678164.000000,258372751270.000000,0,39847770115.000000,236887197747.000000
600050.SH,20120824,20120630,473885510852.000000,265424881836.000000,0,45887278370.000000,231887919933.000000
600050.SH,20120426,20120331,453702278291.000000,244382868404.000000,0,44678093810.000000,207855017519.000000
600050.SH,20130322,20111231,458523843879.000000,249913147826.000000,0,38872481579.000000,213489923483.000000
600050.SH,20111028,20110930,437044354419.000000,227715967534.000000,0,38071924128.000000,190970102228.000000
600050.SH,20110825,20110630,442411453868.000000,233092071629.000000,0,39538153382.000000,195963552185.000000
600050.SH,20110427,20110331,442333947024.000000,233410894761.000000,0,47858560522.000000,196104281373.000000
600050.SH,20120323,20101231,443607667855.000000,235283852964.000000,0,42412981528.000000,197891597751.000000
600050.SH,20101030,20100930,421046251263.000000,213474858205.000000,0,29862955739.000000,187412792362.000000
600050.SH,20100827,20100630,418786797855.000000,213119016371.000000,0,26063657670.000000,199785039214.000000
600050.SH,20100430,20100331,406052234707.000000,196992266072.000000,0,27998309765.000000,186516508095.000000
600050.SH,20110330,20091231,419232296909.000000,210386824377.000000,0,30722750261.000000,199612395835.000000
600050.SH,20091031,20090930,370086041923.000000,159189012383.000000,0,33718498625.000000,146796809786.000000
600050.SH,20090829,20090630,358002553408.000000,149811699545.000000,0,29404080829.000000,137475994739.000000
600050.SH,20090430,20090331,356328313335.000000,146811196992.000000,0,40215571715.000000,134254768913.000000
600050.SH,20100325,20081231,351847143522.000000,141735805128.000000,0,39035920150.000000,128619402777.000000
600050.SH,20081031,20080930,142488747467.000000,44806136111.000000,0,9361276962.000000,38225023113.000000
600050.SH,20080826,20080630,142624057436.000000,47521810193.000000,0,12675366444.000000,38410334477.000000
600050.SH,20080425,20080331,144375067499.000000,49192030672.000000,0,19209711960.000000,47022295075.000000
600050.SH,20090401,20071231,335715828729.000000,154901696864.000000,0,32234990022.000000,123601276151.000000
600050.SH,20071027,20070930,137399007543.000000,48285811532.000000,0,17159019079.000000,46186335195.000000
600050.SH,20070824,20070630,137221554311.000000,62056044806.000000,0,18145811923.000000,45856022494.000000
600050.SH,20070427,20070331,136314976068.000000,59222150087.000000,0,17756000977.000000,44781342399.000000
600050.SH,20080328,20061231,141952233426.000000,66369452122.000000,0,20704048769.000000,51889044929.000000
600050.SH,20061027,20060930,140889824488.000000,62913472953.000000,0,19885437597.000000,49923400831.000000
600050.SH,20060825,20060630,137097421654.000000,60773088158.000000,0,17133994290.000000,54708204138.000000
600050.SH,20060428,20060331,137408766503.000000,61051313761.000000,0,17482283371.000000,49335837974.000000
600050.SH,20070330,20051231,138354226410.000000,63301614543.000000,0,15425830743.000000,51169116656.000000
600050.SH,20051028,20050930,142598276150.000000,68489056030.000000,0,19951405708.000000,51165286699.000000
600050.SH,20050826,20050630,143308611174.000000,70577182763.000000,0,18592240179.000000,48315911475.000000
600050.SH,20050429,20050331,144624593522.000000,72008999797.000000,0,19155342076.000000,45116067771.000000
600050.SH,20060324,20041231,144826788171.000000,73172310421.000000,0,17382632470.000000,46540326687.000000
600050.SH,20041029,20040930,147187834686.000000,75847322199.000000,0,21396251854.000000,46951818078.000000
600050.SH,20040827,20040630,146817002214.000000,76491946021.000000,0,21461506827.000000,45524302800.000000
600050.SH,20040430,20040331,152374876237.000000,82189621376.000000,0,26561509169.000000,42409650849.000000
600050.SH,20050325,20031231,150054557734.000000,81288713632.000000,0,22271568649.000000,44972768207.000000
600050.SH,20031030,20030930,143201080756.000000,74274937502.000000,0,25442185099.000000,44587143906.000000
600050.SH,20030829,20030630,141511260142.000000,73967149031.000000,0,23628713969.000000,43713379924.000000
600050.SH,20030430,20030331,145816560232.000000,79742432287.000000,0,28839259519.000000,45982320587.000000
600050.SH,20040326,20021231,150294143696.000000,83776964325.000000,0,32129535844.000000,45976345016.000000
600050.SH,20020917,20020630,113691925107.000000,49346465903.000000,0,31337883224.000000,26802986768.000000
600050.SH,20020917,20011231,127953155099.000000,65674387640.000000,0,49514508222.000000,29221286831.000000
600050.SH,20020917,20001231,112884229787.000000,54687133335.000000,0,57590295689.000000,27521746871.000000
600050.SH,20020917,19991231,45118215651.000000,34031772265.000000,0,10524878903.000000,21704058675.000000
